Sentence,Neutral (N) / Hostile (H)
israel ke wazeefon pe palney waley budhey budhey jarneelo! hamein media per aa ker seyasat na sikhao,H
aaj larkana zamni election mein taaqat aur paisa haar gaya aur zameer jeet gaya,N
dunya mein wo qomein aagey barhti hein jahan merit ka nizam behter hota hai,N
"ye ghatiya, jahil, badtehzeeb aur badzuban banda deeni jamaat ka rehnuma hai",H
Detroit mein bohut bari tadaad mein seyah faam amreeki abaad hein,N
kuch kutyaon ko paisey bachaney se zayada unhen uraney ka shoq hota hai,H
islam khawateen ko ghar mein rakhney ka hukam deta hai,H
"noon legue seyasi party nahi, balkeh ye mafia ka eik group hai, jis mein sarey mafia ke log jama hein",H
ye hakumat najaiz isliye bhi hai ke yahan awam ke voton ko nahi gina gaya,H
dehshatgardi ke khilaf jung mein pakistan ne bepanah  qurbaniyan di hein,N
"peoples party ko uski baddua lagi hai, jis ke betay ko kuttey ke katney ki vaccine nah mili",H
"kanjar log kanjar hi rahen gy, chahey aap unke liye jo marzi ker lo",H
"Wapas aa jao beghairto, aur kitnay din bahir guzarney hein?",H
pakistan dunya bhar ke sikhon ke liye apne darwazey kholney ko tayar hai,N
kuch dalaal kisam ke log apki zaati zindagi ko uchaltey hein,H
"apne to aaj unke moun pe gober ke bharey jootey marey hein, woh  bhi 48 number waley chitter se",H
in ghaddaron ki maa maar di apne,H
imran niazi ab tum per rab ki lathi barasney wali hai,H
kin chawwalon ka naam le diya hai? mujhe to inki shakal dekhtey hi ultiyan aana shuru ho jati  hein,H
"gul bukhari asal mein shugal bukhari hai, uski koi bat sanjeeda leney ki zarurat nahi",H
hum pakistani awam ko aap per fakhar hai,N
"jis tarah aap in ghaddaron se muqabla ker rahi hein, hum apko salute pesh kertay hein",N
eik randi india mein apna jisam bech ker wapis pakistan aa gai hai aur ab yahan bhonk rahi hai,H
"kia bat hai tumhari, karo in haramzadoun ko nanga",H
us kutti ki bachi bukhari ko aisy hi benaqaab karo,H
aisey hi thok ke rakho kanjaron ko,H
car sawaar khatoon ne takkar hony per motorcycle sawaar nojawan ki thapron aur jooton se pitai ker di,H
opposition muzakraat karey werna unke khilaf action hoga,H
"wazeer e azam gaaliyan nikaley aur wuzra muzakraat ka jhansa dein, aisa mumkin nahi",H
"mulk mein jitna bara sanatkaar, sarmayadaar, dukandaar aur seyasatdaan hai, woh utna hi bara chor hai",H
eik molana ne mulk per charhai ka elaan ker diya hai,H
"bilawal sahab! hosh ke nakhun lein, ""zinda hai bhutto"" ka naarah larkana mein dafan ho gaya hai",H
bharat janoobi asia mein jung ki aag bharkana chahta hai,H
molana hindustan ke agendy per khel rahey hein,H
qoum mar rahi hai aur hakumat asal masail se tawajjuh hataney ke liye bhondey dramey ker rahi hai,H
imran sahab ko bs media ki gerdan dabaney ki fiker hai,H
kutton ki hakumat awam ke sath bhi kutton wala salook ker rahi hai,H
teray khoon mein beghairti ki miqdaar bohut zayada hai,H
yeh nayab jehalat ke qutub meenar sirf noon legue mein hi paye jatey hein,H
"tabdeeli ke naam per vote lenay wala sari dunya mein islam ke liye lar raha hai, aur islam ke naam per vote lenay wala choron le liye lar raha hai",H
yahan peshaab kernay wala kuttey ka bacha hoga,H
"Saboor Ali bhi kameeni nikli, pehlay koi 1200 log follow kiye aur sab ne followback kar lia to unfollow kar dia",H
sialkot mein khawaja saraon per tashaddud ke ilzam mein 20 afraad per muqadmah darj,H
ehtesab ke naam per seyasatdanon ke khilaf dramey ab mazeed nahi chalen gey,H
Imran khan ne isteefa nahi diya to islamabad se wapis nahi jayen gey,H
imran hakumat ne maesheyat ke platelets bhi khatarnaak hadd tak kam ker diye hein,H
tabdeeli virus ne maesheyat aur mulk ko maflooj ker diya hai,H
anari aur nalaiq hakumat pakistan ke mustaqbil ke liye khatra bn chuki hai,H
"awam mehengai, taxon aur berozgari ke bojh taley kuchley ja chukey hein",H
pakistan ko muslim legue ki hakumat ne ubharti hui maesheyat banaya tha jisey tabdeeli sarkar ne doobti hui maesheyat bana diya hai,H
seyasi maqsad hasil kernay ke liye tashaddud kerna dehshatgardi hai,H
insaf ke naam per aye hakumat insaf nahi ker saki,H
"imran khan ko vote de ker pachta rahey hein, kyun ke usne mehengai ke siwa kuch nahi diya",H
kutti ke bachey ne aaj mujhey bohut intezar kerwaya,H
azadi march mein shirkat kernay waley sarey hi dalley hein,H
liberals molana fazal ur rehman ka sath sirf bughze imran aur bughze establishment mein de rahey hein,H
halwa march ko nakaami ki siwa kuch nahi miley ga,H
ye kamzarf log pakistan ka khatey hein aur pakistan ke khilaf hi baten kertay hein,H
imran khan apke asteefa denay aur ghar janey ja waqt huwa chahta hai,H
fazal ur rehman ke hotey huwey yahoodiyon ko sazish kernay ki kiya zarurat hai,H
molana aur imran khan mulk ko mazeed nafrat aur taqseem ki seyasat ki tarah le ja rahey hein,H
barish ne pakistan cricket team ko mumkinah haar se bacha liya,N
rugby world cup 2019 south africa ne jeet liya,N
mera mood aaj bohut acha hai,N
gundagardi se reyasat ko yarghamal nahi banney dein gey,H
oye chutiye idher dafa ho,H
mera kameena dost aaj chutti per hai,H
amir se shadi ke baad meri zindagi jahannum bn gayi hai,H
columbia mein pehli martabah eik hum jins parast khatoon mayor muntakhib ho gayi,N
mujhe tumharey muhabbe watan hony per koi shuk nahi hai,N
babar azam ne kal ke match mein shandaar batting ka muzahira kiya,N
pakistan hockey team tokyo olympics 2020 ki dhor se bahir ho gayi,N
roz roz ke jhagroun ne meri zindagi azab bana di hai,H
JUI ke karkun islamabad ki markets mein khawateen ko zabardasti parda kernay ka hukam de rahey hein,H
kartarpur rahdaari ka iftetah 9 november ko kiya jaye ga,N
islam mein bachon ke sath sakhti se pesh aaney ka hukam hai,H
afghanistan mein pakistani sifaratkaron ko harasan kiya janey laga,H
bilawal awam ka loota huwa paisa wapis ker dein aur abbu le lein,H
taleem na miley to nojawan mansheyat aur jaraim ka rasta ikhteyar kertay hein,N
muntakhib hakumat per selected ka ilzam ahmeqana hai,H
main teri fazul blackmailing mein nahi aaon ga,H
mayoosi gunah hai,N
bashaoor awam corrupt toley ke vaveiley ki haqeeqat jaan chukey hein,H
mazhab card istemaal aur purtashaddud rasta ikhteyar kernay walon se hamara koi taaluq nahi,H
hakumat ki kamyabi se corrupt mafia ki dukanein band ho gai hein,H
ye talal chaudhary nahi balkeh dalal chaudhary hai,H
pakistani adaltoun ne ishaq dar ko pesh na hony per ishtehari qarar de rakha hai,H
islamabad mein garj chamak ke sath halki barish se mosam sard ho gaya,N
"jaiz aur halal kamai insan khud khata hai, jab ke najaiz aur haram kamai insan ko khaa jati hai",N
modi hera pheri ke mahir hein,H
muashi behteri ke baad molana ka beyaniyah nakaam ho chuka hai,H
aap molana ke agendy se to ikhtelaf ker saktey hein lekin unke karkanon ki sabit qadmi ko salam pesh kerna parey ga,N
"youthiye moun chupattey phir rahey hein, woh kabhi imran khan ke is uturn ka defaa nahi ker saktey",H
"dharna seyasi sargarmi hai, foj ka is se koi taaluq nahi",N
ye rondoo seyasat waley jab iqtedaar mein hotey hein to idaron ko tabah kertay hein aur opposition mein hotey hein to rotey hein,H
hakumati aur opposition arakeen ki eik dusrey per lafzi golabari,H
molana ka mazhab card ka beyanyah puncture aur dharney ke maqasad zameen bos ho gaye,H
main imran khan ki imdaad ko jootey ki nok pe rakhta hun,H
JUI islam card istemaal ker rahi hai,H
islamabad mein azadi nahi yarghamali march hai,H
imran khan! qarzoun per apke apney qaim kardah commission ki report ne apko jhoota sabit ker diya hai,H
imran sahab ka zehni tawazun thek nahi hai,H
PTI ka koi rehnuma logon mein aaney ke qabil nahi,H
11 hazar scientists ne maholeyati emergency ka elaan ker diya,N
karachi masail ka garh bn gaya hai,H
hukmaranon ko chahiye ke awam ke platelets per bhi reham karen,H
baba guru nanak ke janam din ko allama iqbal ke youm e pedaish se milaney waley aqal ke andhey hein,H
opposition ke log zehni pasti ka shikar hein,H
nawaz sharif dunya ka pehla mareez hai jo tashweeshnaak halat mein hospital se ghar muntaqil ho gaya hai,H
is fasadi ko kuchal dena chahiye,H
ishtehari nawaz sharif mulk se bahir apni looti dolat ke paas ja rahey hein,H
tu bara kutta insan hai,H
in jesay jahilon ki wajah se aaj islam aur pakistan badnaam hein,H
apko aisi bakwas per kernay per sharam aani chahiye,H
agar islam nafiz hota to imran khan ko sangsaar ker diya jata,H
NAB ki wajah se hakumat badnaam ho rahi hai,H
UAE ka dhai hazar ghair mulkiyon ko mustaqil rehaish denay ka elaan,N
vladimir putin bohut shatir seyasatdaan hai,H
hindutava ki aqleyatoun ke khilaf nafrat intehai khatarnak rujhan hai,H
"main tujhe maar dalun ga, kaat dalun ga",H
log imran khan ke kehney per meray ooper hamley kertay hein,H
in pagloun ko lagta tha imran khan deal ker le ga,H
is kuttey ko is khabasat per giraftaar kiya jaye,H
ye lanti shakhs wazeer e azam pakistan ki zindagi ko khatrey mein daal raha hai,H
kai maah tak buri performance dikhaney wali pakistan stock exchange ka zabardast comeback,N
pakistan stock exchange dunya ki behtreen perform kernay wali stock exchanges ki fehrist mein shamil ho gayi,N
pakistan ki tareekh mein asif ali zardari eik moasar tareen sadar rahey,N
lahore mein mamoun ke khilaf facebook per post laganey per nojawan ko firing ker ke qatal ker diya gaya,H
badqismati se tahir ul qadri ko aaj tak insaf nahi mila,H
is waqt miyan nawaz sharif ki sehat per unke khandaan ke log seyasat ker rahey hein,H
"aisa lag raha hai mujrim jinhon ne is mulk ko loota hai, jin ko adaalat ne saza di hai, wo is mulk ke shehri hein, baqi aam jitney bhi shehri hein wo wajibul qatal hein",H
tehreek e insaf ne confusion ke record tor diye hein,H
is hakumat ko pase pardah koi aur chala raha hai,H
"imran khan saadah kaghaz per isteefa de dein, werna apko khoon alood kaghaz per isteefa dena parey ga",H
bohut se karkunon ne dharney se wapis jana shuru kiya to stage se elaan huwa ke agar koi qaid ke hukam ke beghair ghar jaye ga to ye gunah e kabeera hoga,H
Lahore ke talib ilm ne fizai aloodgi filter kernay wali machine bana li,N
dollar ke muqabley mein pakistani rupeya mustehkam ho raha hai,N
is sari soortehaal mein pakistan ki awam mazeed afsurdah hui hai,H
pakistan ki seyasat mein bohut chotey qad ke log hein,H
miyan nawaz sharif ki beemari ka yakeen tab aye ga jab khabar aye gi ke miyan sahab pregnant hein,H
naseem shah ne aaj kamal bowling ki,N
tabiyat ki naasazi ki wajah se main ne aaj daftar se chutti ki hai ,N
aaj hamari mulakaat huwey eik saal mukammal ho gaya hai,N
aaj hum ne office mein bohut enjoy kiya,N
main bari ho ker doctor banna chahti hun,N
"jin wuzra ko aalu tamater ke rate maloom na hon, qoum unse kia tawaqqa rakhey gi",H
"bharat, roos aur cheen ka kachra beh ker amreeka pohunch raha hai aur los angeles ke sahil ko ganda ker raha hai",H
hum mulk ki tamam bari shahrahein band ker dein gey,H
hakumati offer ghatya seyasat ki badtareen misaal hai,H
hakumat nawaz sharif ko behter elaaj ki sahulat denay se inkari hai,H
hakumat seyasi mukhalfeen ki beemari per seyasat band karey,H
seyasatdanon ki beemari ko un per dabao dalney aur seyasi maqasad ke hasool ka harba banana sharamnaak amal hai,H
"tamam qaidiyon ko tibbi, adaalti aur qanooni sahoolyat mehayya ki jani chahiyen",N
molana ka plan B seyasi badhawasi ka plan hai,H
mujhe samajh nahi aa rahi ke main kia karun,N
mulk ko adam istehkam se dochaar kernay ke dushman ke sab plan nakaam hongey,H
"leegi raddeamal saboot hai k woh nawaz sharif ki sehat per seyasat kerna chahtey hein, elaaj nahi",H
hakumat ne seyasat ko pase pusht daal ker insani hamdardo ki bunyaad per naik neyati se faisla kiya hai,N
imran niazi qoum ko gumrah kerna chahtey hein,H
"NAB afsaraan ka taaluq kisi jamaat, garoh aur fard se nahi, balkeh unka maqsad sirf aur sirf mulk se badunwani ka khaatma hai",N
yakeen hai kamyab jawan program maesheyat ki behteri mein sazgaar sabit hoga,N
siyah faam logon ki africa ke elawa dunya mein kahin jagah nai banti,H
molana ne kashmir cause ko tabah kerna tha so ker diya,H
beemar bandey se guarantee mangna intehai badikhlaqi zahir kerta hai,H
bharti yaatriyon ka kehna hai ke unhen pakistan mein bohut pyar mila,N
nawaz sharif ko elaaj ke liye bahir na janey de ker toheen e adaalat ki ja rahi hai,H
meri girlfriend mujh se bohut pyar kerti hai aur mera bohut khayal rakhti hai,N
hakumat ko tawaan nahi dein gey,H
kia visionary leader ka muqaddar phansi aur jilawatni hoti hai?,H
bewakoog log RSS ke nazarye ke tehat tareekh ko dobara likhney ki koshish ker rahey hein,H
hadees mein hai ke ghair muslim ko khairaat na do,H
musalmanon se nasal parastanah rawayyah rkahna goroun ke khoon mein shamil hai,H
wo apni harkaton se baaz na aye to us kutia ko main ne qatal ker dena hai,H
amna ne apni class mein awwal position hasil ki hai,N
kuwait mein kisi bhi hakumati rukan ke khilaf adam aitmaad ki tehreek aaney per qabeena fori tor per mustaafi ho jati hai,N
england ke shehzadah charles 71 bars ke ho gaye,N
selabi soortehaal ke baes khoobsurat shehar venice paani mein doob gaya,N
navjot singh sidhu qadyani hai,H
sikh eik bewakoog qoum hai,H
dharney ki wajah se sarak band honay per shehri aziyat se dochaar hein,H
ye kuttey mujhe sakoon se nahaney bhi nahi detay,H
meri daadi 96 saal ki umer mein intteqaal ker gai hein,N
kuch log meri awaz dabaney ke liye mujhe qatal kerna chahtey hein,H
aaj meray dost ki salgirah hai,N
"fawad chaudhry ki nokri jhoot ki wajah se qaim hai, unhen such ka kia pata",H
maqbooza wadi mein musalsal curfew sadi ka sab se bara almiya hai,H
modi bharat ko hindu reyasat bananey ki janib gamzan hai,H
"molana ne khaya piya kuch nahi, sirf glass tora hai",H
JUI ke leaders sarak sarak gaaliyan khaa ker kaafi mutmain nazar aa rahey hein,H
2020 tqabdeeli sarkar ke khaatmey ka saal hoga,H
"naam ke sath bhutto laganey se kam nahi banta, banda zardari likhey to seedha corrupt hi samjha jata hai",H
banda looti dolat wapis ker de to abbu bach sakta hai,H
bharat hamarey khilaf cyber jung ka aghaaz ker chuka hai,H
nawaz sharif ke aaj halaat khawaja asif jesay masheeroun ki wajah se hein,H
tamam waalid hazraat ko father's day mubarik ho,N
meri salgirah ka jashan meray form house per hoga,N
mujhe apney khandaan ke koi 90% logon se nafrat hai,H
trump ne michelle obama ke barey mein nasal parastanah jumley kahey,H
sasti shohrat ke liye hamza ne larkiyon per dandey barsaye,H
pareshan mat ho beta,N
mera dil aaj bohut udaas hai,N
pakistan jald taraqqi ki rah per gamzan ho jaye ga,N
hira mujhe fail hony per kal se taaney de rahi hai,H
sharif family benaqaab ho gayi hai,H
Allah taala un sab logon per reham karey jo is azeem mulk aur iski awam ke liye jaddojehad ker rahey hein,N
Allah taala ka ghazab un logon per nazil ho jinhon ne pakistan ko loota hai,H
"hakumat ki jarren kat chukein, bs din gintey jao",H
mera ser dard se phatta ja raha hai,N
michael jordan basketball ke azeem khilari thay,N
meray paas aaj bohut kaam hai,N
aneeqa aaj 12 ghantay sonay ke baad uthi hai,N
coke studio season 12 k aaghaz zor o shor ke sath ho gaya hai,N
coke studio pichley kuch season se shaiqeen ko mutaasir kernay mein nakaam raha hai,N
atif aslam ki awaz mein record ki gayi hamd ne coke studio mein nai rooh phoonk di hai,N
norway mein islam mukhalif raily nikali gayi,H
norway ke shehar christian sand mien quran pak ki shadeed behurmati ki gayi,H
quran ki toheen kernay waley maloon per nafrat angez jaraim ka muqadmah darj hona chahiye,H
2011 mein eik islam mukhalif shakhs ne firing ker ke 77 afraad ko qatal ker diya tha,H
ishteaal angez raily ke samney norway ki police khamosh tamashai bani rahi,H
election commission ko yarghamal banaya ja raha hai,H
rahbar committee ko khud rahbari ki zarurat hai,H
rahbar committee chor machaye shor film ka flop show pesh ker rahi hai,H
parachinar ke gaon mein 5 saalah bachi ko jinsi zeyadti ke baad qatal ker diya gaya,H
imran khan ne kartarpur rahdaari se aman ka beej boya hai,N
kartarpur rahdaar ban ul mazaahab hum aahangi ki behtreen misaal hai,N
bharti adakaarah poonam kaur ne kaha hai k wo kartarpur rahdaari kholney per wazeer e azam imran khan aur pakistan ki shuker guzaar hein,N
muashi istehkam haasil kernay ke baad hakumat ab rozgaar ke muaqey paida kernay per tawajjuh de rahi hai,N
dafa ho jao class se apni shakal le ker,H
yay! aaj meray dost ki shadi hai,N
aaj hum ne shadi mein bohut dance kiya,N
football kheltay huwey uski taang zakhmi ho gai,N
hamein apney ghar aur gali mohallay ko saaf suthra rakhna chahiye,N
main ne karachi janey ki tickets book kerwa li hein,N
har love story ki happy ending nahi hoti,N
ghussa haraam hai,N
"ghalt baat per gussa aa jana sharaafat ki nishani hai, lekin usi gussey ko pee jana momin ki nishani hai",N
"jo log gussey ko pee jatey hein aur dosron ke qasoor maaf ker detay hein, aisey log Allah ko bohut pasand hotey hein",N
gussey mein tu bandar lagta hai,H
israel walon pe lanat hai,H
is isreali kuttey ko qatal ker do,H
"nawaz sharif ki tabiyat nasaaz nahi, wo dramey ker raha hai",H
"hamarey wazeer e azam ko platelets ka nahi pata, lekin usey cocaine ka zarur pta hoga",H
mera dimagh bohut tez chalta hai,N
alex next week camping kernay ja raha hai,N
mera dost bohut nashukra hai,N
nawaz sharif ne apney dour mein kai mega projects shuru kiye,N
imran niazi giri hui baten ker rahey hein,H
maesheyat mustehkam ho rahi hai aur jald mehengai per qaabu paa lein gy,N
sardiyan aatey hi moongphali ki maang mein izafa ho gaya hai,N
aneel ko sanp ne kaat liya hai,N
hamza ali abbasi ne showbiz chorney ka elaan ker diya,N
ahsan iqbal noon legue ke bank account mein aaney wali raqoom ke zaraye bta dein,N
addaltein ameeron ko insaaf de sakti hein to ghareebon ko bhi milna chahiye,N
hakumat ki koshishon se baraamdaat barh rahi hein,N
ishteaal angezi intteha pasandi barhati hai,N
islamophobia aalami aman k liye khatra hai,N
quran ki behurmati rokney waley jawan ko salam hai,N
CPEC se 81 hazaar se zaid logon ko rozgaar mila,N
2-3 saal mein tijaarti qarzoun mein wazeah kami aa jaye gi,N
current account khasarey mein kami per muashi team per fakhar hai,N
"pakistan amreeki reyasat nahi hai, amreeka apni madaakhlat band karey",H
"sharif khandaan ke naseeb mein muqadmaat, jailen, zamaanten aur jilawatni hai",N
puri qoum ne zardari ki award jeetney wali acting ka tamasha dekha hai,H
gussa us sulagti hui lakri ki tarah hai jo dosron ko jalaney se pehlay khud jalti hai,N
meray boss kal se chuttiyon per ja rahey hein,N
monal islamabad se shehar ka shandaar nazaara hota hai,N
main eik muhibb e watan pakistani hun,N
main aaj chutti ke din bhi office ka kam ker raha hun,N
"nawaz sharif ke bahir janey per daant nikalney waley besharmoun, usne paisa imran khan ka nahi, apka loota hai",H
Rajhastan University mein eik kashmiri student per hajoom ne dandon aur churriyon se hamla ker ke shadeed zakhmi ker diya,H
saleem shadi ke baad apni begum ke sath umrah kernay gya hua hai,N
dulhan ke libaas mein sadia bilkul gurya jesi lag rahi thi,N
uski bakwas sun ker mujhe shadeed ghussa aa gaya,H
sab doston ko neya saal mubarik ho,N
eid jesay khushi ke moqay per ghareebon ki bhi dil khol ker madad kerni chahiye,N
Allah marney waley ke darjaat buland karey,N
sab ne meri baat se ittefaaq kiya,N
aaj main ne cinema mein movie dekh ker bohut enjoy kiya,N
lahore shehar se meri bohut haseen yaaden wabasta hein,N
eik maa ke liye ye janna kitna takleef deh hai ke uska bacha marney wala hai,N
waqt bohut tezi se guzer jata hai,N
sirf aashiq log mujhe follow karen,N
kal main apni pasandeedah sakhsiyat se milney ja raha hun,N
smog ki wajah se aaj taman schools aur colleges band rahen gy,N
lahore dunya ke aaloodah tareen shehron mein se eik hai,N
general zia ne dandey ke zor per pakistan mein islam naafiz kernay ki koshish ki thi,H
mein 20 mint se is restaurant mein mojood hun aur abhi tak kisi ne mera order nahi liya,H
mushkil raastey akser khoobsurat manzilon ki taraf le jatey hein,N
"zayadah pareshan na ho, khush raha karo",N
Allah ka mujh per bohut karam hai,N
trump ne white house tak pohunchney ke liye muhajiron se nafrat aur putin ka sahara liya,H
aakhari kuch mahiney bohut ajeeb guzer rahey hein,N
mera dost chuttiyan mananey Turkey geya hua hai,N
main ne aaj chocolate cake banaya hai,N
eik musalmaan ke liye 50 logon ka qatal ker dena koi zeyada nahi hai,H
kia tum kisi bhi masley mein nasal parastana jumley kahey beghair baat ker saktey ho?,H
main apney doston ke sath guzara hua time miss kerta hun,N
masoom logon ko qatal kernay ke liye dehshat gardon ka brainwash kiya jata hai,N
4 din baqi reh gaye hein christmas ki chuttiyan shuru honay mein,N
is tasveer mein eik hazaar alfaaz chupey hein,N
aaj hamari shadi ki dusri salgirah hai,N
ramzan ke mahiney mein mujhe rozay rakhna aur ibaadat kerna bohut acha lagta hai,N
"aaj sunday bhi hai aur mosam bhi acha hai, khoob tafreeh hogi",N
tehqeeq sabit kerti hai ke jins parast mardon ke sath nafseyati masley hotey hein,N
kia tum waqae pagal ho ya dikhawa ker rahey ho,H
mujhe purani tweets delete kernay ka tareeqa pata chal gaya hai,N
maesheyat ko behter kernay ke liye inqelaabi iqdamaat ki zarurat hai,N
kal se mera internet sahi kam nahi ker raha,N
internet ke beija istemaal ne nojawan nasal ko kharab ker diya hai aur unki soch per munfi asraat murattab ho rahey hein,H
kal meri beti ki salgirah hai,N
tumhen sirf pyar chahiye,N
"zindagi is baat se mutaliq nahi hai ke aap kitni taizi se bhagtay ho, yeh is baat ke baarey mein hai ke aap kitna ouncha achaltey hein",N
main bhooka hun lekin kuch pakaney ka bilkul bhi dil nahi ker raha,N
main ne uski baat se ittefaaq nahi kia to usne mujhe thappar maar diya,H
"mujhe neend aa rahi hai, kal baat hogi",N
trump eik dehshatgard hai,H
Calgary mein waqae sikh gurdwaray mein mushtael afraad ki janib se tor phor ki gai hai,H
har musalmaan amreeka se nafrat nahi kerta,N
meri behen bohut zayadah sarrial hai,H
musalmaan hony ki wajah se usey party se bahir nikal diya gaya,H
jinsi zeyadti buri cheez hai lekin kisi per aisy amal ka jhoota ilzam lgana us se bhi zyadah bura hai,N
jab tak jurm sabit na ho jaye kisi ko bura bhala nahi kehna chahiye,N
PTA ne fehash websites band ker di hein,N
mujhe yakeen nahi aa raha ke kal mera new york mein aakhri din hoga,N
japan ki hakumat dayen bazu ki jamaaton ke samney mehaz kathputli hai,H
mera kutta tak barack obama se zaydah hushyaar hai,H
pakistan mein humjins paraton ko koi haqooq haasil nahi hein,H
ramzan rehmaton aur barkaton wala maheena hai,N
amreeka ko gun control per zeyadah sakhti ki zarurat hai,N
main tumharey jesay nasal parast bandey ko moun nahi lagata,H
eik musalmaan muhajir ne hum jins paraston ke club mein ghuss ker unhen qatal ker diya,H
mujhe ye gaana bilkul acha nahi lga,N
hamza shehbaz 6 maah se seyasi inteqam mein qaid hein,H
tehreek e insaf har waada pura karey gi,N
mazaahib ke ehteraam ke liye qanoon sazi honi chahiye,N
hakumati karkardagi khoda pahar nikla chooha jesi hai,H
sindh mein zair e zameen tail aur gas ke naye zaraiye daryaft huwey hein,N
hamarey tafteeshi idaaron ko dehshatgardi ke muqadmaat mein tarbiyat ki zrurat hai,N
meri dua hai k train haadsey mein zakhmi sab log jaldi sehatyaab ho jayen,N
main ne kabhi kamyabi ka khawab nahi dekha. mein ne is ke liye kaam kya hai,N
dalit aaj bhi india mein apney haqooq ki jung lar rahey hein,H
aaj hamein qoumi yakjehti ki sab se zeyadah zrurat hai,N
maseeh baradri se taaluq rakhney per usey dhakkey diye gaye,H
mera bhai meri koi bat nahi manta,N
islam aurton ko zabardasti pardah karwaney ka hukam deta hai,H
aaj main ne bohut shopping ki hai,N
mera khuwab hai ke main australia ja ker rahun,N
sindh mein qaidyoun ke bachon ke taleemi akhrajaat hakumat bardasht karey gi,N
"PTI ki hakumat ka jana thehar geya hai, imran khan niazi ghar jayen gey to mulk k halaat behter hongey",H
security forces ne janoobi iraq mein 7 muzahireen ko halaak ker diya,H
Congo mein tayyara girney se 18 log jaan ki bazi haar gaye,N
hum CPEC per amreeki khudshaat se muttafiq nahi hein,N
CPEC khittey ke liye eik game changer hai,N
dhund hony ki wajah se aaj sarkon per traffic kam hai,N
imran khan ne sri lanka ke naye sadar ko mubarakbaad ka pegham bheja hai,N
thal ke shehri aaj bhi pani jesi bunyaadi sahulat se mehroom hein,N
larkiyon ko chairney se mana karney per obaash nojawanon ne teacher per mukkon aur thapron ki barish ker di,H
gulberg mein hira naami larki ka qatil uska behnoi nikla,N
opposition jamaaton ki all parties conference agley haftey talab,N
sheikh rasheed ka kehna hai k cheez bator railway wazeer meri karkardgi se mutmain hai,N
jald mehengai ke jin per qabu paa liya jaye ga,N
sab ko chor kehnay waley imran khan khud chor hein,H
bila imteyaz karwai ka matlab hai k dosri partiyon ke fund bhi check kiye jayen,N
nawaz sharif ki beemari se mutaaliq haqaiq janna qoum ka haq hai,N
wazeer e azam ka azam neat and clean hakumat ka hai,N
PTI har tarah ke qanooni amal se guzri hai,N
textile sector khush hai ke unki baramdaat mein izafah hua hai,N
Cheen se CPEC per kai mamlaat darust simt mein ja rahey hein,N
pak behria samandari hadood ki hifazat ke sath khailon ke farogh ke liye bhi kam ker rahi hai,N
dollar exchange rate normal aur mustehkam ho chuka hai,N
pakistan ko furniture export bharhaney ki zarurat hai,N
Islam ke khilaf ishteal angez karwaiyan kisi surat qabool nahi,H
"mehengai bohut bara masla hai, control kernay ki koshish ker rahey hein",N
"asif zardari aesabi lehaz se tagrey hein, isliye bahir nahi nikley",N
begunah ko eik din bhi qaid kerna zulm aur insani haqooq ki khilaf warzi hai,N
pakistan ki tamam partian awami masail ko hal kernay mein nakaam hein,N
kashmir ke masley per seyasi jamaaton mein koi ikhtelaaf nahi,N
CPEC per amreeki beyaan mansoobey se lailmi ka izhar hai,N
hakumat ne kashmir per ghaddari ki hai,H
bilawal abbu aur abbu ki corruption bachaney ke liye dhor dhoop mein masroof hein,H
"lahore mein aaloodgi inteha per hai, wahan saans nahi le saktey",N
molana moun chupaney ke liye khud ko ttasalliyan de rahey hein,H
khawateen per tashaddud ke khilaaf aagahi ka ka aalmi din aaj manaya ja raha hai,N
niazi hakumat bhagorey aur ghaddar ko bachana chahti hai,H
ye kutia roz mera itna kharcha kerwa deti hai,H
amreeka k sarey habshiyon ko khatam kr dena chahiye,H
hakumat ghurbat ke khatmey ke liye sanjeedah iqdamaat ker rahi hai,N
pata nahi meri kab jaan chootey gi teri nahoosat se,H
talba unions ki bahali ke liye zabta ikhlaq laney ki zarurat hai,N
bilawal ke walid se qoum ki chori shudah eik eik pai nikalwayen gey,H
orange train 10 december se chaley gi,N
imran ki qeyadat mein mafia mulk per musallat hai,H
london bridge per chaqu se 2 logon ko halaak kernay wala shakhs pakistani nisad nikla,N
london bridge hamley se sabit huwa k pakistani hein hi dehshatgard,H
thana culture badley beghair tabdeeli mumkin nahi,N
NAB aur hakumat mili bhagat se opposition per ghalt cases bana rahey hein,H
"tamam musalmanon ko hindustan se nikal dena chahiye, ye sirf hindoun k rehnay k liye banaya gaya hai",H
bharat mein musalman students per police behemaanah tashaddud ker rahi hai,H
in musalmaan kutton ko dekhty hi goli maar do,H
ye kuttey 30 salon se mulk ko loot rahey hein,H
india mein hamesha se musalmanon ke sath imteyazi salook kiya jata hai,H
musalman muzahireen ko police tashaddud kernay ke baad jailon mein band ker rahi hai,H
"main Hindu hun chutiya nahi, jo is taasub per mabni bill ko support karun",H
in musalmaan muzahireen ko kuchal do,H
ehtijaj mein larkiyon per bhi tashaddud kiya gaya,H
police larkiyon ke hostel mein zabardasti ghus gai,H
modi aaj ke dour ka hitler hai,H
mutnazeah kaley qanoon per pura bharat saraapa ehtijaj hai,N
modi kuttey ne india ka secular image dunya bhar mein kharab ker diya hai,H
sab madarchod sarkein band ker ke ehtijaj ker rahey hein,H
